(2.1633, 5.88495, 2.86959)
(7.81752, 0.0804379, 5.79196)
(1.12988, 4.86755, 1.95656)
(4.65105, 7.36528, 0.117784)
(6.32208, 2.56014, 6.60356)
(1.15197, 0.751653, 0.317123)
(6.96829, 2.36714, 3.01498)
(0.358373, 3.60352, 5.64716)
(1.07108, 2.9705, 9.33509)
(1.7424, 6.04937, 5.10972)
(3.03614, 2.08216, 1.63468)
(6.15332, 3.3188, 4.20682)
(2.88251, 0.651212, 0.586976)
(0.859768, 0.703738, 0.876675)
(3.32209, 0.332285, 3.76568)
(0.199813, 0.309337, 0.534892)
(5.22779, 5.92138, 0.242749)
(3.81522, 2.70442, 1.19701)
(1.10459, 3.87096, 2.22991)
(0.226118, 0.399712, 0.275239)
(0.361202, 0.0937546, 0.227759)
(8.51018, 1.41555, 1.60452)
(0.653217, 1.71799, 1.76081)
(0.239558, 0.49534, 0.280332)
(3.62238, 4.96892, 6.09715)
(2.2913, 1.13099, 2.04837)
(0.0561068, 0.0451113, 0.0862413)
(1.78312, 0.83083, 0.764458)
(2.32608, 0.556494, 0.749496)
(2.9745, 5.27275, 3.90689)
(3.55434, 6.69024, 6.1511)
(8.53338, 4.35685, 1.83625)
(2.38264, 5.55654, 4.83796)
(5.53975, 5.58794, 1.66344)
(1.86927, 1.50402, 1.22847)
(0.306056, 0.868227, 0.0692416)
(4.23232, 2.047, 4.99811)
(9.25674, 1.57288, 1.04833)
(1.71158, 1.19617, 0.553819)
(7.07634, 6.4717, 0.134176)
(0.295963, 0.239727, 0.722528)
(3.14185, 0.193542, 2.86268)
(6.25331, 2.41994, 2.31663)
(1.68715, 0.398887, 1.97739)
(2.49598, 5.43744, 7.00033)
(0.429748, 4.57709, 1.62042)
(1.66516, 1.43509, 2.31894)
(0.868931, 1.39946, 0.291149)
(0.179992, 0.196067, 0.135069)
(0.666644, 0.107565, 0.540915)
(0.354626, 7.95833, 5.34244)
(5.78195, 2.23492, 7.11971)
(2.47916, 2.79271, 2.41503)
(7.08825, 3.75761, 3.79298)
(2.38733, 2.07991, 0.553852)
(4.88853, 0.184841, 0.831982)
(4.52223, 2.0004, 7.09892)
(1.626, 1.10788, 2.16057)
(1.20841, 2.55428, 6.15704)
(0.990099, 4.39495, 7.1799)
(6.85589, 5.95, 2.75799)
(1.42622, 0.272561, 1.67652)
(5.54233, 6.06593, 4.73358)
(5.27056, 5.16471, 3.74502)
